Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2021-09-14,148.119995,130.229446,241.130005,55.689999,155.149994,164.800003,86.389999,44.709999,48.099998
2021-09-15,149.029999,131.166351,240.979996,55.880001,156.020004,165.419998,87.730003,44.77,48.183334
2021-09-16,148.789993,130.430206,243.210007,55.349998,155.559998,165.220001,87.25,44.470001,48.343334
2021-09-17,146.059998,129.28299,242.490005,54.439999,154.130005,164.75,86.389999,43.889999,48.243332
2021-09-20,142.940002,128.403442,239.089996,54.060001,153.610001,163.809998,86.169998,44.200001,47.580002
2021-09-21,143.429993,127.122368,240.5,54.049999,153.539993,164.529999,86.919998,43.919998,47.673332
2021-09-22,145.850006,128.709366,243.130005,54.130001,154.009995,163.929993,88.440002,43.950001,47.563332
2021-09-23,146.830002,130.71701,244.779999,54.040001,154.130005,164.860001,89.419998,44.189999,47.59
2021-09-24,146.919998,131.443588,246.419998,53.889999,154.199997,164.360001,89.940002,43.939999,47.723331
2021-09-27,145.369995,132.466537,248.110001,53.610001,152.720001,163.169998,91.040001,43.57,47.416668
2021-09-28,141.910004,131.424469,243.770004,52.639999,151.050003,162.809998,90.489998,43.040001,46.833332
2021-09-29,142.830002,133.05928,244.279999,52.959999,152.300003,164.020004,91.25,43.529999,46.813332
2021-09-30,141.5,132.820267,241.110001,52.470001,150.410004,161.5,87.129997,43.009998,46.459999
2021-10-01,142.649994,137.017212,242.929993,53.02,150.949997,160.470001,89.739998,42.93,45.683334
2021-10-04,139.139999,137.772461,243.080002,52.990002,150.199997,159.220001,89.260002,42.419998,45.243332
2021-10-05,141.110001,136.854691,245.220001,53.080002,151.089996,159.580002,91.489998,42.32,45.540001
2021-10-06,142.0,136.099426,247.100006,53.709999,154.960007,159.910004,91.339996,42.02,45.873333
2021-10-07,143.289993,135.573608,248.320007,53.880001,156.389999,161.339996,92.309998,42.740002,46.413334
2021-10-08,142.899994,136.9216,247.699997,54.119999,156.029999,160.929993,94.389999,42.450001,46.553333
2021-10-11,142.809998,136.166351,246.580002,54.23,156.240005,160.25,95.290001,42.060001,46.509998
2021-10-12,141.509995,134.292542,244.520004,54.23,156.929993,157.690002,95.57,41.849998,46.459999
2021-10-13,140.910004,134.569794,242.649994,54.240002,157.990005,159.199997,96.400002,41.419998,46.123333
2021-10-14,143.759995,137.084137,244.550003,54.610001,159.259995,160.110001,95.279999,41.669998,46.623333
2021-10-15,144.839996,138.250473,242.25,54.48,158.809998,161.300003,95.330002,41.490002,46.849998
2021-10-18,146.550003,136.061188,242.259995,53.939999,158.089996,160.119995,96.510002,41.32,47.226665
2021-10-19,148.759995,135.736145,242.770004,54.150002,160.100006,163.869995,97.059998,42.09,48.23
2021-10-20,149.259995,135.659653,239.720001,54.630001,161.309998,163.779999,96.639999,42.799999,48.666668
2021-10-21,149.479996,122.686424,241.399994,54.349998,159.179993,163.399994,96.300003,42.860001,48.936668
2021-10-22,148.690002,122.25621,238.440002,54.450001,159.970001,163.720001,98.25,43.16,49.446667
2021-10-25,148.639999,122.026772,237.339996,54.23,159.220001,164.080002,97.889999,43.150002,50.02
2021-10-26,149.320007,121.5392,236.419998,54.470001,161.169998,165.75,96.980003,43.560001,49.583332
2021-10-27,148.850006,119.66539,242.729996,55.52,160.610001,163.740005,96.029999,42.970001,49.176666
2021-10-28,152.570007,120.305923,245.5,56.040001,161.619995,162.850006,96.230003,43.18,49.483334
2021-10-29,149.800003,119.598473,245.550003,56.369999,161.600006,162.880005,95.940002,43.740002,49.806667
2021-11-01,148.960007,120.726578,250.580002,56.169998,161.259995,163.020004,94.379997,43.639999,49.93
2021-11-02,150.020004,120.630974,249.240005,56.099998,162.740005,165.589996,95.870003,45.450001,49.906666
2021-11-03,151.490005,121.5392,250.399994,56.290001,164.300003,165.059998,96.150002,44.82,50.060001
2021-11-04,150.960007,120.849998,253.460007,56.599998,164.309998,164.600006,95.629997,43.849998,50.426666
2021-11-05,151.279999,123.610001,254.710007,56.84,166.0,163.429993,94.949997,48.610001,50.076668
2021-11-08,150.440002,124.540001,253.100006,56.330002,162.429993,162.869995,95.139999,48.330002,49.756668
2021-11-09,150.809998,120.849998,252.649994,56.490002,163.509995,162.509995,94.589996,47.299999,49.93
2021-11-10,147.919998,120.220001,253.130005,56.720001,164.039993,164.270004,93.830002,49.02,49.48
2021-11-11,147.869995,120.269997,250.160004,56.740002,162.690002,163.059998,94.040001,50.18,49.5
2021-11-12,149.990005,118.959999,250.669998,56.610001,162.649994,165.009995,93.540001,49.73,49.253334
2021-11-15,150.0,118.870003,252.940002,56.619999,163.800003,163.520004,94.019997,49.650002,48.970001
2021-11-16,151.0,118.459999,252.460007,56.220001,163.309998,162.669998,95.610001,49.599998,47.723331
2021-11-17,153.490005,118.059998,252.690002,55.91,163.369995,163.279999,95.330002,50.869999,47.313332
2021-11-18,157.869995,116.660004,253.479996,55.41,163.419998,162.399994,94.660004,51.41,47.720001
2021-11-19,160.550003,116.050003,251.949997,55.130001,163.809998,162.889999,93.970001,50.799999,47.463333
2021-11-22,161.020004,116.470001,253.479996,55.470001,164.149994,159.699997,94.610001,51.200001,48.259998
2021-11-23,161.410004,116.790001,255.649994,55.880001,165.25,160.690002,92.940002,51.080002,48.603333
2021-11-24,161.940002,116.730003,257.109985,55.43,163.740005,160.240005,93.580002,50.889999,48.846668
2021-11-26,156.809998,115.809998,250.009995,53.73,161.139999,159.199997,92.330002,54.0,48.299999
2021-11-29,160.240005,118.5,250.300003,54.580002,164.139999,159.75,92.940002,52.400002,47.543331
2021-11-30,165.300003,117.099998,244.600006,52.450001,159.779999,155.929993,90.739998,53.73,46.876667
2021-12-01,164.770004,116.919998,244.179993,52.299999,160.160004,158.080002,89.75,54.68,45.713333
2021-12-02,163.759995,116.900002,248.800003,53.07,160.619995,157.089996,89.989998,53.040001,45.156666
2021-12-03,161.839996,118.839996,249.330002,53.540001,164.710007,159.380005,88.239998,54.27,45.836666
2021-12-06,165.320007,119.910004,255.789993,54.91,166.419998,162.940002,88.940002,51.48,46.333332
2021-12-07,171.179993,121.580002,259.910004,55.209999,166.229996,163.360001,90.050003,51.720001,46.183334
2021-12-08,175.080002,123.019997,259.579987,55.0,166.520004,164.339996,88.940002,51.400002,45.716667
2021-12-09,174.559998,123.57,262.339996,54.860001,166.309998,165.899994,88.769997,52.080002,46.166668
2021-12-10,179.449997,124.089996,264.970001,56.279999,168.970001,165.490005,102.629997,52.779999,47.009998
2021-12-13,175.740005,122.580002,263.089996,57.759998,169.809998,168.449997,100.889999,55.200001,47.856667
2021-12-14,174.330002,123.760002,262.519989,57.799999,169.389999,170.289993,99.889999,55.540001,48.313332
2021-12-15,179.300003,123.110001,264.519989,58.060001,171.570007,171.139999,103.650002,58.799999,48.59
2021-12-16,172.259995,125.93,265.549988,58.650002,171.820007,173.009995,103.220001,61.25,47.779999
2021-12-17,171.139999,127.400002,261.700012,57.73,168.300003,168.229996,96.620003,59.48,46.25
2021-12-20,169.75,127.059998,261.730011,57.540001,169.419998,167.75,91.639999,61.02,46.400002
2021-12-21,172.990005,128.970001,264.390015,57.77,168.919998,167.210007,91.510002,58.950001,46.540001
2021-12-22,175.639999,129.75,264.940002,58.18,169.970001,167.929993,89.860001,59.549999,46.599998
2021-12-23,176.279999,130.630005,265.950012,58.220001,169.779999,168.25,89.720001,58.709999,46.496666
2021-12-27,180.330002,131.619995,268.23999,58.650002,171.470001,169.669998,89.540001,59.200001,46.919998
2021-12-28,179.289993,132.630005,267.880005,58.880001,172.360001,170.350006,88.650002,58.009998,47.593334
2021-12-29,179.380005,133.350006,268.48999,58.950001,172.970001,171.550003,88.209999,57.580002,47.57
2021-12-30,178.199997,133.910004,267.209991,58.779999,172.669998,172.309998,88.010002,58.400002,47.723331
2021-12-31,177.570007,133.660004,268.070007,59.209999,173.710007,171.070007,87.209999,59.049999,48.23
2022-01-03,182.009995,136.039993,268.579987,59.299999,172.979996,171.539993,87.900002,56.650002,48.216667
2022-01-04,179.699997,138.020004,268.51001,60.290001,173.229996,171.080002,88.839996,54.529999,47.333332
2022-01-05,174.919998,138.220001,267.190002,60.790001,173.820007,172.220001,86.459999,55.630001,47.973331
2022-01-06,172.0,135.339996,269.690002,60.470001,173.860001,171.630005,86.339996,54.84,47.84
2022-01-07,172.169998,134.830002,267.059998,60.330002,174.080002,173.949997,87.510002,55.720001,48.296665
2022-01-10,172.190002,135.029999,264.410004,60.43,174.169998,173.089996,89.279999,56.240002,48.203335
2022-01-11,175.080002,132.869995,262.119995,60.450001,174.089996,171.25,88.480003,56.689999,48.066666
2022-01-12,175.529999,133.589996,260.920013,60.540001,173.899994,169.789993,88.309998,56.650002,47.813332
2022-01-13,172.190002,134.759995,261.410004,60.900002,174.179993,168.759995,87.790001,55.540001,48.490002
2022-01-14,173.070007,134.210007,257.709991,61.389999,175.639999,167.839996,87.690002,54.950001,48.353333
2022-01-18,169.800003,132.940002,256.480011,60.900002,173.960007,167.100006,85.550003,54.110001,47.506668
2022-01-19,166.229996,131.580002,255.220001,61.0,175.210007,166.580002,83.379997,53.540001,47.98
2022-01-20,164.509995,130.820007,253.130005,60.75,173.940002,165.25,82.720001,54.049999,47.073334
2022-01-21,162.410004,129.350006,254.589996,60.450001,174.220001,164.869995,82.220001,52.790001,46.73
2022-01-24,161.619995,128.820007,253.610001,59.959999,173.330002,162.970001,82.419998,51.540001,46.733334
2022-01-25,159.779999,136.100006,250.679993,59.82,171.339996,167.630005,81.07,52.540001,45.716667
2022-01-26,159.690002,134.259995,249.850006,59.599998,169.529999,168.380005,79.589996,53.009998,45.25
2022-01-27,159.220001,132.520004,248.740005,59.650002,169.369995,170.589996,79.779999,53.369999,45.279999
2022-01-28,170.330002,134.5,256.089996,60.84,172.669998,171.789993,80.480003,54.330002,45.84
2022-01-31,174.779999,133.570007,259.450012,61.009998,173.520004,172.289993,81.160004,52.689999,46.603333
2022-02-01,174.610001,135.529999,258.98999,60.560001,172.339996,170.880005,81.040001,53.07,46.970001
2022-02-02,175.839996,137.25,262.279999,61.18,175.470001,172.770004,82.5,53.860001,46.950001
2022-02-03,172.899994,137.779999,260.640015,61.610001,175.369995,172.759995,81.940002,53.380001,46.996666
2022-02-04,172.389999,137.149994,260.059998,60.959999,172.490005,171.630005,82.110001,53.0,46.443333
2022-02-07,171.660004,137.240005,259.850006,61.599998,171.809998,171.059998,80.739998,53.209999,45.986668
2022-02-08,174.830002,137.020004,260.079987,62.0,172.020004,171.509995,80.790001,51.700001,45.996666
2022-02-09,176.279999,137.789993,259.859985,61.040001,171.940002,171.490005,83.449997,51.470001,45.896667
2022-02-10,172.119995,133.520004,256.869995,61.380001,168.369995,169.419998,81.849998,50.599998,45.360001
2022-02-11,168.639999,132.690002,255.160004,60.290001,168.580002,167.710007,79.75,50.779999,45.110001
2022-02-14,168.880005,130.149994,253.389999,60.68,166.699997,165.600006,78.949997,49.799999,44.650002
2022-02-15,172.789993,129.940002,253.809998,60.91,165.960007,167.309998,79.769997,49.790001,44.790001
2022-02-16,172.550003,129.179993,253.089996,60.900002,166.300003,167.210007,79.190002,49.68,44.509998
2022-02-17,168.880005,124.970001,250.929993,62.119999,166.75,166.190002,75.529999,48.900002,46.293331
2022-02-18,167.300003,124.349998,250.600006,62.540001,167.710007,163.360001,74.57,48.529999,45.996666
2022-02-22,164.320007,123.919998,252.699997,62.279999,168.350006,161.139999,74.120003,47.529999,45.483334
2022-02-23,160.070007,122.07,247.789993,61.59,166.690002,161.220001,72.470001,46.869999,45.016666
2022-02-24,162.740005,121.970001,245.029999,60.509998,163.789993,158.139999,74.809998,45.959999,44.843334
2022-02-25,164.850006,124.18,249.449997,62.849998,168.380005,166.0,76.349998,47.720001,45.459999
2022-02-28,165.119995,122.510002,244.770004,62.240002,163.740005,164.570007,75.970001,46.939999,45.053333
2022-03-01,163.199997,121.349998,239.630005,61.970001,162.270004,164.0,76.010002,45.75,45.330002
2022-03-02,166.559998,123.860001,240.940002,62.43,164.520004,166.039993,78.279999,47.700001,45.386665
2022-03-03,166.229996,125.93,236.649994,62.470001,163.270004,168.479996,78.25,47.830002,46.43
2022-03-04,163.169998,126.620003,235.809998,62.57,165.75,169.479996,76.489998,48.650002,47.606667
2022-03-07,159.300003,126.07,224.330002,61.080002,162.449997,172.210007,74.32,47.98,47.223331
2022-03-08,157.440002,125.68,222.789993,58.66,157.869995,168.720001,73.330002,47.439999,46.246666
2022-03-09,162.949997,126.220001,222.470001,58.959999,157.399994,169.360001,76.099998,48.75,46.486668
2022-03-10,158.520004,124.349998,222.0,57.880001,154.509995,169.660004,76.650002,49.200001,47.543331
2022-03-11,154.729996,123.959999,226.869995,57.919998,153.729996,169.350006,77.82,50.27,47.356667
2022-03-14,150.619995,123.940002,226.179993,58.540001,155.889999,171.690002,77.07,52.25,48.016666
2022-03-15,155.089996,125.639999,232.570007,59.619999,159.0,176.139999,80.599998,52.209999,48.593334
2022-03-16,159.589996,127.040001,238.139999,59.459999,159.699997,174.520004,79.959999,52.919998,48.450001
2022-03-17,160.619995,127.959999,237.470001,60.09,160.940002,176.800003,80.599998,54.240002,48.336666
2022-03-18,163.979996,128.759995,238.919998,60.099998,162.789993,174.839996,81.68,54.509998,48.48
2022-03-21,165.380005,128.100006,235.320007,60.580002,162.559998,175.830002,80.959999,54.189999,48.076668
2022-03-22,168.820007,129.059998,238.119995,60.799999,164.339996,175.0,81.800003,53.040001,47.933334
2022-03-23,170.210007,128.300003,236.119995,60.400002,163.479996,174.339996,80.389999,52.189999,47.316666
2022-03-24,174.070007,129.25,240.259995,60.98,164.470001,175.240005,82.239998,52.59,47.610001
2022-03-25,174.720001,131.350006,241.580002,61.529999,165.240005,176.919998,81.730003,52.779999,47.816666
2022-03-28,175.600006,131.470001,242.940002,61.919998,165.729996,177.830002,83.599998,53.279999,48.666668
2022-03-29,178.960007,131.940002,248.169998,62.16,168.190002,177.740005,84.290001,52.740002,49.076668
2022-03-30,177.770004,132.130005,249.029999,62.209999,167.960007,179.589996,83.360001,52.439999,49.956669
2022-03-31,174.610001,130.020004,247.279999,62.0,167.380005,177.229996,82.730003,51.77,49.639999
2022-04-01,174.309998,130.149994,249.25,62.869999,169.759995,178.190002,82.010002,51.57,50.336666
2022-04-04,178.440002,130.270004,246.830002,62.540001,169.320007,176.470001,84.07,50.939999,50.346668
2022-04-05,175.059998,128.889999,248.509995,62.470001,169.5,177.610001,82.940002,51.240002,50.490002
2022-04-06,171.830002,129.389999,251.460007,63.099998,172.389999,182.229996,82.120003,52.869999,51.663334
2022-04-07,172.139999,128.550003,254.360001,63.439999,172.550003,181.759995,81.540001,55.16,52.18
2022-04-08,170.089996,127.730003,251.460007,63.830002,173.130005,182.119995,80.940002,55.169998,52.470001
2022-04-11,165.75,126.370003,250.449997,63.810001,172.600006,179.839996,79.760002,53.93,51.43
2022-04-12,167.660004,125.980003,249.169998,64.559998,173.300003,179.899994,79.330002,53.110001,51.076668
