Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2021-09-15,0.006144,0.007194,-0.000622,0.003412,0.005608,0.003762,0.015511,0.001342,0.001733
2021-09-16,-0.00161,-0.005612,0.009254,-0.009485,-0.002948,-0.001209,-0.005471,-0.006701,0.003321
2021-09-17,-0.018348,-0.008796,-0.00296,-0.016441,-0.009193,-0.002845,-0.009857,-0.013043,-0.002069
2021-09-20,-0.021361,-0.006803,-0.014021,-0.00698,-0.003374,-0.005706,-0.002547,0.007063,-0.01375
2021-09-21,0.003428,-0.009977,0.005897,-0.000185,-0.000456,0.004395,0.008704,-0.006335,0.001962
2021-09-22,0.016872,0.012484,0.010936,0.00148,0.003061,-0.003647,0.017487,0.000683,-0.002307
2021-09-23,0.006719,0.015598,0.006786,-0.001663,0.000779,0.005673,0.011081,0.005461,0.000561
2021-09-24,0.000613,0.005558,0.0067,-0.002776,0.000454,-0.003033,0.005815,-0.005657,0.002802
2021-09-27,-0.01055,0.007782,0.006858,-0.005196,-0.009598,-0.00724,0.01223,-0.008421,-0.006426
2021-09-28,-0.023801,-0.007867,-0.017492,-0.018094,-0.010935,-0.002206,-0.006041,-0.012164,-0.012302
2021-09-29,0.006483,0.012439,0.002092,0.006079,0.008275,0.007432,0.008399,0.011385,-0.000427
2021-09-30,-0.009312,-0.001796,-0.012977,-0.009252,-0.01241,-0.015364,-0.045151,-0.011946,-0.007548
2021-10-01,0.008127,0.031599,0.007548,0.010482,0.00359,-0.006378,0.029955,-0.00186,-0.016717
2021-10-04,-0.024606,0.005512,0.000617,-0.000566,-0.004969,-0.00779,-0.005349,-0.01188,-0.009632
2021-10-05,0.014158,-0.006661,0.008804,0.001698,0.005925,0.002261,0.024983,-0.002357,0.006557
2021-10-06,0.006307,-0.005519,0.007667,0.011869,0.025614,0.002068,-0.00164,-0.007089,0.00732
2021-10-07,0.009084,-0.003863,0.004937,0.003165,0.009228,0.008942,0.01062,0.017135,0.011772
2021-10-08,-0.002722,0.009943,-0.002497,0.004454,-0.002302,-0.002541,0.022533,-0.006785,0.003016
2021-10-11,-0.00063,-0.005516,-0.004522,0.002033,0.001346,-0.004225,0.009535,-0.009187,-0.000931
2021-10-12,-0.009103,-0.013761,-0.008354,0.0,0.004416,-0.015975,0.002938,-0.004993,-0.001075
2021-10-13,-0.00424,0.002065,-0.007648,0.000184,0.006755,0.009576,0.008685,-0.010275,-0.007246
2021-10-14,0.020226,0.018684,0.00783,0.006822,0.008038,0.005716,-0.011618,0.006036,0.010841
2021-10-15,0.007513,0.008508,-0.009405,-0.002381,-0.002826,0.007432,0.000525,-0.00432,0.004862
2021-10-18,0.011806,-0.015836,4.1e-05,-0.009912,-0.004534,-0.007316,0.012378,-0.004097,0.00804
2021-10-19,0.01508,-0.002389,0.002105,0.003893,0.012714,0.02342,0.005699,0.018635,0.021245
2021-10-20,0.003361,-0.000564,-0.012563,0.008864,0.007558,-0.000549,-0.004327,0.016869,0.009054
2021-10-21,0.001474,-0.095631,0.007008,-0.005125,-0.013204,-0.00232,-0.003518,0.001402,0.005548
2021-10-22,-0.005285,-0.003507,-0.012262,0.00184,0.004963,0.001958,0.020249,0.007,0.010422
2021-10-25,-0.000336,-0.001877,-0.004613,-0.00404,-0.004688,0.002199,-0.003664,-0.000232,0.011595
2021-10-26,0.004575,-0.003996,-0.003876,0.004426,0.012247,0.010178,-0.009296,0.009502,-0.00873
2021-10-27,-0.003148,-0.015417,0.02669,0.019277,-0.003475,-0.012127,-0.009796,-0.013545,-0.008202
2021-10-28,0.024992,0.005353,0.011412,0.009366,0.006288,-0.005435,0.002083,0.004887,0.006236
2021-10-29,-0.018156,-0.00588,0.000204,0.005889,-0.000124,0.000184,-0.003014,0.012969,0.006534
2021-11-01,-0.005607,0.009432,0.020485,-0.003548,-0.002104,0.00086,-0.01626,-0.002286,0.002476
2021-11-02,0.007116,-0.000792,-0.005348,-0.001246,0.009178,0.015765,0.015787,0.041476,-0.000467
2021-11-03,0.009799,0.007529,0.004654,0.003387,0.009586,-0.003201,0.002921,-0.013861,0.003072
2021-11-04,-0.003499,-0.005671,0.01222,0.005507,6.1e-05,-0.002787,-0.005408,-0.021642,0.007325
2021-11-05,0.00212,0.022838,0.004932,0.00424,0.010285,-0.007108,-0.007111,0.108552,-0.006941
2021-11-08,-0.005553,0.007524,-0.006321,-0.008973,-0.021506,-0.003427,0.002001,-0.00576,-0.00639
2021-11-09,0.002459,-0.029629,-0.001778,0.00284,0.006649,-0.00221,-0.005781,-0.021312,0.003484
2021-11-10,-0.019163,-0.005213,0.0019,0.004071,0.003241,0.01083,-0.008035,0.036364,-0.009013
2021-11-11,-0.000338,0.000416,-0.011733,0.000353,-0.00823,-0.007366,0.002238,0.023664,0.000404
2021-11-12,0.014337,-0.010892,0.002039,-0.002291,-0.000246,0.011959,-0.005317,-0.008968,-0.004983
2021-11-15,6.7e-05,-0.000757,0.009056,0.000177,0.00707,-0.00903,0.005131,-0.001609,-0.005753
2021-11-16,0.006667,-0.003449,-0.001898,-0.007065,-0.002991,-0.005198,0.016911,-0.001007,-0.025458
2021-11-17,0.01649,-0.003377,0.000911,-0.005514,0.000367,0.00375,-0.002929,0.025605,-0.008591
2021-11-18,0.028536,-0.011858,0.003126,-0.008943,0.000306,-0.00539,-0.007028,0.010615,0.008595
2021-11-19,0.016976,-0.005229,-0.006036,-0.005053,0.002386,0.003017,-0.007289,-0.011865,-0.005379
2021-11-22,0.002927,0.003619,0.006073,0.006167,0.002076,-0.019584,0.006811,0.007874,0.016785
2021-11-23,0.002422,0.002747,0.008561,0.007391,0.006701,0.006199,-0.017651,-0.002344,0.007114
2021-11-24,0.003284,-0.000514,0.005711,-0.008053,-0.009138,-0.0028,0.006886,-0.00372,0.005007
2021-11-26,-0.031678,-0.007881,-0.027615,-0.030669,-0.015879,-0.00649,-0.013358,0.061112,-0.011192
2021-11-29,0.021874,0.023228,0.00116,0.01582,0.018617,0.003455,0.006607,-0.02963,-0.015666
2021-11-30,0.031578,-0.011814,-0.022773,-0.039025,-0.026563,-0.023912,-0.023671,0.025382,-0.014022
2021-12-01,-0.003206,-0.001537,-0.001717,-0.00286,0.002378,0.013788,-0.01091,0.017681,-0.024817
2021-12-02,-0.00613,-0.000171,0.018921,0.014723,0.002872,-0.006263,0.002674,-0.029993,-0.012177
2021-12-03,-0.011724,0.016595,0.00213,0.008856,0.025464,0.014578,-0.019447,0.02319,0.015059
2021-12-06,0.021503,0.009004,0.025909,0.025588,0.010382,0.022337,0.007933,-0.05141,0.010836
2021-12-07,0.035446,0.013927,0.016107,0.005463,-0.001142,0.002578,0.01248,0.004662,-0.003237
2021-12-08,0.022783,0.011844,-0.00127,-0.003804,0.001745,0.005999,-0.012326,-0.006187,-0.010105
2021-12-09,-0.00297,0.004471,0.010633,-0.002545,-0.001261,0.009493,-0.001911,0.01323,0.009843
2021-12-10,0.028013,0.004208,0.010025,0.025884,0.015994,-0.002471,0.156134,0.013441,0.018267
2021-12-13,-0.020674,-0.012169,-0.007095,0.026297,0.004971,0.017886,-0.016954,0.045851,0.01801
2021-12-14,-0.008023,0.009626,-0.002167,0.000693,-0.002473,0.010923,-0.009912,0.006159,0.009542
2021-12-15,0.028509,-0.005252,0.007618,0.004498,0.01287,0.004992,0.037641,0.058696,0.005727
2021-12-16,-0.039264,0.022906,0.003894,0.010162,0.001457,0.010927,-0.004149,0.041667,-0.01667
2021-12-17,-0.006502,0.011673,-0.014498,-0.015686,-0.020487,-0.027628,-0.063941,-0.028898,-0.032022
2021-12-20,-0.008122,-0.002669,0.000115,-0.003291,0.006655,-0.002853,-0.051542,0.025891,0.003243
2021-12-21,0.019087,0.015032,0.010163,0.003997,-0.002951,-0.003219,-0.001419,-0.033923,0.003017
2021-12-22,0.015319,0.006048,0.00208,0.007097,0.006216,0.004306,-0.018031,0.010178,0.001289
