Date,AAPL,IBM,MCD
2010-01-04,7.643214,126.625237,62.779999
2010-01-05,7.656429,125.095604,62.299999
2010-01-06,7.534643,124.282982,61.450001
2010-01-07,7.520714,123.852776,61.900002
2010-01-08,7.570714,125.095604,61.84
2010-01-11,7.503929,123.785851,62.32
2010-01-12,7.418571,124.770554,62.66
2010-01-13,7.523214,124.502869,62.59
2010-01-14,7.479643,126.491394,62.650002
2010-01-15,7.354643,125.984703,62.279999
2010-01-19,7.68,128.240921,63.48
2010-01-20,7.561786,124.521988,63.009998
2010-01-21,7.431071,123.326958,63.200001
2010-01-22,7.0625,119.980881,63.389999
2010-01-25,7.2525,120.573616,63.09
2010-01-26,7.355,120.219887,63.810001
2010-01-27,7.424286,120.774376,63.73
2010-01-28,7.1175,118.307838,62.830002
2010-01-29,6.859286,117.007645,62.43
2010-02-01,6.954643,119.187378,63.889999
2010-02-02,6.995,120.00956,64.029999
2010-02-03,7.115357,120.133842,65.209999
2010-02-04,6.858929,117.59082,64.059998
2010-02-05,6.980714,118.087952,63.369999
2010-02-08,6.932857,116.520073,62.919998
2010-02-09,7.006786,117.791588,63.57
2010-02-10,6.968571,117.40918,63.25
2010-02-11,7.095357,118.288719,63.790001
2010-02-12,7.156429,118.546844,63.59
2010-02-16,7.264286,119.722755,64.010002
2010-02-17,7.233929,120.774376,64.260002
2010-02-18,7.2475,122.189293,64.480003
2010-02-19,7.2025,121.596558,64.739998
2010-02-22,7.157857,121.271507,64.769997
2010-02-23,7.037857,120.898659,64.870003
2010-02-24,7.166429,121.978966,65.260002
2010-02-25,7.214286,121.481834,64.379997
2010-02-26,7.307857,121.567879,63.849998
2010-03-01,7.463929,122.915871,63.98
2010-03-02,7.458929,121.816444,64.07
2010-03-03,7.476071,121.300194,63.630001
2010-03-04,7.525357,121.147224,63.43
2010-03-05,7.819643,121.653923,63.669998
2010-03-08,7.824286,120.850861,65.120003
2010-03-09,7.965,120.028679,65.099998
2010-03-10,8.03,120.095604,64.940002
2010-03-11,8.053571,121.988525,65.209999
2010-03-12,8.092857,122.313576,65.529999
2010-03-15,7.994286,122.208412,65.93
2010-03-16,8.016071,123.011475,66.07
2010-03-17,8.004286,122.141495,66.379997
2010-03-18,8.023214,122.734222,66.68
2010-03-19,7.9375,122.093689,66.529999
2010-03-22,8.026786,122.351814,67.010002
2010-03-23,8.155714,123.680687,67.349998
2010-03-24,8.191786,122.877632,66.800003
2010-03-25,8.094643,123.556404,66.900002
2010-03-26,8.246429,123.575523,67.260002
2010-03-29,8.299643,122.93499,67.07
2010-03-30,8.423214,123.107079,67.239998
2010-03-31,8.392857,122.60994,66.720001
2010-04-01,8.4275,122.60994,67.580002
2010-04-05,8.5175,123.661568,68.029999
2010-04-06,8.555,123.26004,67.809998
2010-04-07,8.592857,122.829826,67.699997
2010-04-08,8.569643,121.998085,68.760002
2010-04-09,8.635357,123.097511,68.68
2010-04-12,8.653214,122.715103,68.529999
2010-04-13,8.658214,123.355644,68.919998
2010-04-14,8.774643,125.478012,69.419998
2010-04-15,8.89,125.133842,69.160004
2010-04-16,8.835714,124.885277,69.029999
2010-04-19,8.823929,126.414917,69.919998
2010-04-20,8.735357,123.986618,70.339996
2010-04-21,9.257857,123.317398,70.360001
2010-04-22,9.516786,123.451241,71.029999
2010-04-23,9.6725,124.273422,71.150002
2010-04-26,9.625,124.980881,71.019997
2010-04-27,9.358571,123.154877,70.529999
2010-04-28,9.342857,124.378586,70.339996
2010-04-29,9.594286,124.722755,71.519997
2010-04-30,9.324643,123.326958,70.589996
2010-05-03,9.5125,123.900574,71.419998
2010-05-04,9.238571,122.485657,70.639999
2010-05-05,9.1425,121.854683,70.660004
2010-05-06,8.794643,118.47036,69.419998
2010-05-07,8.423571,116.7304,68.010002
2010-05-10,9.071071,120.717018,70.580002
2010-05-11,9.161429,121.309753,70.480003
2010-05-12,9.360357,126.845123,70.669998
2010-05-13,9.227143,125.697899,70.5
2010-05-14,9.065,125.420647,69.589996
2010-05-17,9.079286,124.703636,70.139999
2010-05-18,9.012857,124.235184,70.019997
2010-05-19,8.869286,123.193115,69.400002
2010-05-20,8.491429,118.355644,67.660004
2010-05-21,8.654286,119.904396,67.860001
2010-05-24,8.812857,118.977058,67.660004
2010-05-25,8.757857,119.043976,67.839996
2010-05-26,8.718214,117.810707,66.010002
2010-05-27,9.048214,120.831741,67.199997
2010-05-28,9.174286,119.751434,66.870003
2010-06-01,9.315357,118.871895,66.360001
2010-06-02,9.426786,121.806885,67.769997
2010-06-03,9.397143,122.332695,67.849998
2010-06-04,9.141429,119.770554,66.699997
2010-06-07,8.962143,118.671127,66.75
2010-06-08,8.904643,118.27916,68.379997
2010-06-09,8.685714,118.451241,68.260002
2010-06-10,8.946786,122.06501,69.370003
2010-06-11,9.053929,122.801147,69.540001
2010-06-14,9.081429,122.848946,69.300003
2010-06-15,9.274643,124.082214,70.400002
2010-06-16,9.544643,124.617592,70.290001
2010-06-17,9.709643,125.219887,70.050003
2010-06-18,9.788214,124.426384,69.879997
2010-06-21,9.648929,124.904396,69.919998
2010-06-22,9.780357,123.61377,68.639999
2010-06-23,9.6775,124.388145,68.629997
2010-06-24,9.607143,122.552582,67.730003
2010-06-25,9.525,121.52964,67.419998
2010-06-28,9.582143,123.307838,67.330002
2010-06-29,9.148929,119.588913,66.459999
2010-06-30,8.983214,118.049713,65.870003
