Date,AAPL,IBM,MCD,KO,PEP,JNJ
2010-01-04,0.015555,0.011841,0.005445,0.000702,0.007237,0.004192
2010-01-05,0.001729,-0.01208,-0.007646,-0.012097,0.012084,-0.011596
2010-01-06,-0.015906,-0.006496,-0.013644,-0.000355,-0.010003,0.008134
2010-01-07,-0.001849,-0.003462,0.007323,-0.002485,-0.006356,-0.007137
2010-01-08,0.006648,0.010035,-0.000969,-0.018509,-0.00328,0.003438
2010-01-11,-0.008821,-0.01047,0.007762,0.020308,-0.001152,0.000156
2010-01-12,-0.011375,0.007955,0.005456,0.010841,0.014003,0.005294
2010-01-13,0.014106,-0.002145,-0.001117,0.002637,0.008123,0.006351
2010-01-14,-0.005792,0.015972,0.000959,0.001754,0.012087,0.002001
2010-01-15,-0.016712,-0.004006,-0.005906,-0.014703,-0.008121,-0.008295
2010-01-19,0.044238,0.017909,0.019268,0.002309,0.000642,0.012237
2010-01-20,-0.015392,-0.029,-0.007404,-0.016306,-0.006097,-0.00306
2010-01-21,-0.017286,-0.009597,0.003015,-0.02036,-0.016304,-0.018112
2010-01-22,-0.049599,-0.027132,0.003006,-0.002391,-0.009025,-0.012037
2010-01-25,0.026903,0.00494,-0.004733,0.002028,-0.002649,0.000316
2010-01-26,0.014133,-0.002934,0.011412,-0.003864,0.000332,-0.006802
2010-01-27,0.00942,0.004612,-0.001254,0.006834,0.000664,0.010352
2010-01-28,-0.041322,-0.020423,-0.014122,-0.006054,-0.009123,0.005675
2010-01-29,-0.036279,-0.01099,-0.006366,0.001292,-0.002009,-0.014734
2010-02-01,0.013902,0.018629,0.023386,0.002396,0.018115,0.003659
2010-02-02,0.005803,0.006898,0.002191,0.012321,0.007414,0.014265
2010-02-03,0.017206,0.001036,0.018429,-0.00327,0.002289,-0.005626
2010-02-04,-0.036039,-0.021168,-0.017635,-0.026244,-0.026921,-0.015559
2010-02-05,0.017756,0.004228,-0.010771,-0.006363,-0.00218,0.0
2010-02-08,-0.006856,-0.013277,-0.007101,-0.008288,-0.009242,-0.00431
2010-02-09,0.010664,0.010912,0.010331,0.025831,0.018487,0.006253
2010-02-10,-0.005454,-0.003246,-0.005034,-0.004073,0.005495,-0.000478
2010-02-11,0.018194,0.007491,0.008538,0.007994,0.013415,0.002869
2010-02-12,0.008607,0.002182,-0.003135,-0.004426,-0.004413,-0.00302
2010-02-16,0.015071,0.009919,0.006605,0.015561,0.006402,0.01419
2010-02-17,-0.004179,0.008784,0.003906,0.009303,0.013048,0.005817
2010-02-18,0.001876,0.011715,0.003424,0.010483,0.006762,0.008596
2010-02-19,-0.006209,-0.004851,0.004032,-0.003398,0.002079,-0.011158
2010-02-22,-0.006198,-0.002673,0.000463,-0.006102,-0.00399,-0.005015
2010-02-23,-0.016765,-0.003074,0.001544,-0.009931,-0.010095,-0.002835
2010-02-24,0.018269,0.008936,0.006012,0.006019,0.004856,0.002211
2010-02-25,0.006678,-0.004076,-0.013485,-0.036983,0.003544,-0.002679
2010-02-26,0.01297,0.000708,-0.008232,-0.00753,0.002729,-0.004425
2010-03-01,0.021357,0.011088,0.002036,0.010432,0.015367,0.00619
2010-03-02,-0.00067,-0.008945,0.001407,0.000563,0.005833,0.000789
2010-03-03,0.002298,-0.004238,-0.006867,0.01182,0.002821,-0.00063
2010-03-04,0.006593,-0.001261,-0.003143,0.010013,0.002032,0.002681
2010-03-05,0.039106,0.004183,0.003784,0.004222,0.004056,0.007393
2010-03-08,0.000594,-0.006601,0.022774,-0.004388,-0.003418,0.002498
2010-03-09,0.017984,-0.006803,-0.000307,-0.005141,0.003274,0.00109
2010-03-10,0.008161,0.000558,-0.002458,0.000369,0.001088,0.000311
2010-03-11,0.002935,0.015762,0.004158,-0.01107,0.008381,-0.001089
