Date,AAPL,IBM,MCD,KO,PEP,JNJ
2010-01-04,7.643214,126.625237,62.779999,28.52,61.240002,64.68
2010-01-05,7.656429,125.095604,62.299999,28.174999,61.98,63.93
2010-01-06,7.534643,124.282982,61.450001,28.165001,61.360001,64.449997
2010-01-07,7.520714,123.852776,61.900002,28.094999,60.970001,63.990002
2010-01-08,7.570714,125.095604,61.84,27.575001,60.77,64.209999
2010-01-11,7.503929,123.785851,62.32,28.135,60.700001,64.220001
2010-01-12,7.418571,124.770554,62.66,28.440001,61.549999,64.559998
2010-01-13,7.523214,124.502869,62.59,28.514999,62.049999,64.970001
2010-01-14,7.479643,126.491394,62.650002,28.565001,62.799999,65.099998
2010-01-15,7.354643,125.984703,62.279999,28.145,62.290001,64.559998
2010-01-19,7.68,128.240921,63.48,28.209999,62.330002,65.349998
2010-01-20,7.561786,124.521988,63.009998,27.75,61.950001,65.150002
2010-01-21,7.431071,123.326958,63.200001,27.184999,60.939999,63.970001
2010-01-22,7.0625,119.980881,63.389999,27.120001,60.389999,63.200001
2010-01-25,7.2525,120.573616,63.09,27.174999,60.23,63.220001
2010-01-26,7.355,120.219887,63.810001,27.07,60.25,62.790001
2010-01-27,7.424286,120.774376,63.73,27.254999,60.290001,63.439999
2010-01-28,7.1175,118.307838,62.830002,27.09,59.740002,63.799999
2010-01-29,6.859286,117.007645,62.43,27.125,59.619999,62.860001
2010-02-01,6.954643,119.187378,63.889999,27.190001,60.700001,63.09
2010-02-02,6.995,120.00956,64.029999,27.525,61.150002,63.990002
2010-02-03,7.115357,120.133842,65.209999,27.434999,61.290001,63.630001
2010-02-04,6.858929,117.59082,64.059998,26.715,59.639999,62.639999
2010-02-05,6.980714,118.087952,63.369999,26.545,59.509998,62.639999
2010-02-08,6.932857,116.520073,62.919998,26.325001,58.959999,62.369999
2010-02-09,7.006786,117.791588,63.57,27.004999,60.049999,62.759998
2010-02-10,6.968571,117.40918,63.25,26.895,60.380001,62.73
2010-02-11,7.095357,118.288719,63.790001,27.110001,61.189999,62.91
2010-02-12,7.156429,118.546844,63.59,26.99,60.919998,62.720001
2010-02-16,7.264286,119.722755,64.010002,27.41,61.310001,63.610001
2010-02-17,7.233929,120.774376,64.260002,27.665001,62.110001,63.98
2010-02-18,7.2475,122.189293,64.480003,27.955,62.529999,64.529999
2010-02-19,7.2025,121.596558,64.739998,27.860001,62.66,63.810001
2010-02-22,7.157857,121.271507,64.769997,27.690001,62.41,63.490002
2010-02-23,7.037857,120.898659,64.870003,27.415001,61.779999,63.310001
2010-02-24,7.166429,121.978966,65.260002,27.58,62.080002,63.450001
2010-02-25,7.214286,121.481834,64.379997,26.559999,62.299999,63.279999
2010-02-26,7.307857,121.567879,63.849998,26.360001,62.470001,63.0
2010-03-01,7.463929,122.915871,63.98,26.635,63.43,63.389999
2010-03-02,7.458929,121.816444,64.07,26.65,63.799999,63.439999
2010-03-03,7.476071,121.300194,63.630001,26.965,63.98,63.400002
2010-03-04,7.525357,121.147224,63.43,27.235001,64.110001,63.57
2010-03-05,7.819643,121.653923,63.669998,27.35,64.370003,64.040001
2010-03-08,7.824286,120.850861,65.120003,27.23,64.150002,64.199997
2010-03-09,7.965,120.028679,65.099998,27.09,64.360001,64.269997
2010-03-10,8.03,120.095604,64.940002,27.1,64.43,64.290001
2010-03-11,8.053571,121.988525,65.209999,26.799999,64.970001,64.220001
2010-03-12,8.092857,122.313576,65.529999,26.674999,65.099998,64.18
2010-03-15,7.994286,122.208412,65.93,26.825001,66.150002,64.57
2010-03-16,8.016071,123.011475,66.07,26.85,66.07,64.529999
2010-03-17,8.004286,122.141495,66.379997,26.92,66.57,64.650002
2010-03-18,8.023214,122.734222,66.68,26.975,66.519997,65.059998
2010-03-19,7.9375,122.093689,66.529999,27.375,66.559998,65.110001
2010-03-22,8.026786,122.351814,67.010002,27.27,66.309998,65.099998
2010-03-23,8.155714,123.680687,67.349998,27.65,66.860001,65.360001
2010-03-24,8.191786,122.877632,66.800003,27.309999,66.260002,64.75
2010-03-25,8.094643,123.556404,66.900002,27.4,66.550003,64.57
2010-03-26,8.246429,123.575523,67.260002,27.325001,66.589996,64.379997
2010-03-29,8.299643,122.93499,67.07,27.385,66.550003,64.82
2010-03-30,8.423214,123.107079,67.239998,27.434999,66.769997,64.900002
2010-03-31,8.392857,122.60994,66.720001,27.5,66.160004,65.199997
2010-04-01,8.4275,122.60994,67.580002,27.65,66.68,65.769997
2010-04-05,8.5175,123.661568,68.029999,27.43,65.980003,65.400002
2010-04-06,8.555,123.26004,67.809998,27.145,66.389999,65.309998
2010-04-07,8.592857,122.829826,67.699997,26.91,65.989998,65.220001
2010-04-08,8.569643,121.998085,68.760002,26.879999,65.970001,64.93
2010-04-09,8.635357,123.097511,68.68,27.295,66.360001,65.139999
2010-04-12,8.653214,122.715103,68.529999,27.379999,66.32,65.110001
2010-04-13,8.658214,123.355644,68.919998,27.51,66.389999,65.68
2010-04-14,8.774643,125.478012,69.419998,27.475,66.290001,65.489998
2010-04-15,8.89,125.133842,69.160004,27.129999,66.269997,65.510002
2010-04-16,8.835714,124.885277,69.029999,27.485001,66.139999,65.019997
2010-04-19,8.823929,126.414917,69.919998,27.66,66.120003,66.029999
2010-04-20,8.735357,123.986618,70.339996,27.235001,65.900002,65.989998
2010-04-21,9.257857,123.317398,70.360001,27.094999,65.980003,65.389999
2010-04-22,9.516786,123.451241,71.029999,27.155001,64.760002,64.779999
2010-04-23,9.6725,124.273422,71.150002,26.940001,64.709999,65.040001
2010-04-26,9.625,124.980881,71.019997,26.865,65.019997,64.760002
2010-04-27,9.358571,123.154877,70.529999,26.434999,64.230003,64.279999
2010-04-28,9.342857,124.378586,70.339996,26.68,64.75,64.620003
2010-04-29,9.594286,124.722755,71.519997,26.870001,65.199997,65.010002
2010-04-30,9.324643,123.326958,70.589996,26.725,65.220001,64.300003
2010-05-03,9.5125,123.900574,71.419998,26.879999,65.690002,65.330002
2010-05-04,9.238571,122.485657,70.639999,26.59,65.43,64.699997
2010-05-05,9.1425,121.854683,70.660004,26.83,65.199997,65.139999
2010-05-06,8.794643,118.47036,69.419998,26.15,64.699997,63.400002
2010-05-07,8.423571,116.7304,68.010002,26.334999,64.57,63.310001
2010-05-10,9.071071,120.717018,70.580002,27.02,66.410004,64.75
2010-05-11,9.161429,121.309753,70.480003,26.805,66.550003,64.669998
2010-05-12,9.360357,126.845123,70.669998,27.01,66.940002,64.900002
2010-05-13,9.227143,125.697899,70.5,26.745001,66.480003,64.669998
2010-05-14,9.065,125.420647,69.589996,26.67,66.07,63.970001
2010-05-17,9.079286,124.703636,70.139999,26.705,66.75,63.880001
2010-05-18,9.012857,124.235184,70.019997,26.549999,66.529999,62.970001
2010-05-19,8.869286,123.193115,69.400002,26.559999,66.040001,62.220001
2010-05-20,8.491429,118.355644,67.660004,25.77,63.860001,60.549999
2010-05-21,8.654286,119.904396,67.860001,25.795,63.580002,60.880001
2010-05-24,8.812857,118.977058,67.660004,25.73,63.32,60.57
2010-05-25,8.757857,119.043976,67.839996,25.309999,62.889999,60.349998
2010-05-26,8.718214,117.810707,66.010002,25.040001,61.23,59.66
