Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,156.380005,156.669998,154.820007,155.149994,144.799377,2808600
2021-09-15,155.220001,156.380005,154.779999,156.020004,145.611343,3702400
2021-09-16,155.389999,156.119995,153.809998,155.559998,145.182037,4589900
2021-09-17,155.229996,155.500000,153.830002,154.130005,143.847458,8127400
2021-09-20,153.899994,154.949997,152.419998,153.610001,143.362122,5484600
2021-09-21,154.610001,156.119995,152.970001,153.539993,143.296799,4479800
2021-09-22,154.619995,155.089996,153.449997,154.009995,143.735458,3001000
2021-09-23,153.690002,154.929993,153.539993,154.130005,143.847458,2712500
2021-09-24,153.750000,154.619995,153.550003,154.199997,143.912766,2366100
2021-09-27,153.800003,154.149994,152.389999,152.720001,142.531525,4482000
2021-09-28,152.369995,152.500000,150.100006,151.050003,140.972900,5910900
2021-09-29,151.339996,153.169998,150.690002,152.300003,142.139526,3326500
2021-09-30,153.220001,153.429993,150.369995,150.410004,140.375610,4949200
2021-10-01,151.350006,151.610001,149.520004,150.949997,140.879547,4274300
2021-10-04,150.880005,153.000000,149.479996,150.199997,140.179611,5404900
2021-10-05,151.360001,152.389999,150.070007,151.089996,141.010269,6103100
2021-10-06,150.839996,155.160004,149.960007,154.960007,144.622070,5499200
2021-10-07,155.520004,157.750000,155.520004,156.389999,145.956680,4605100
2021-10-08,156.570007,156.710007,155.490005,156.029999,145.620682,4186000
2021-10-11,156.389999,157.229996,155.660004,156.240005,145.816666,2738100
2021-10-12,156.220001,157.850006,156.210007,156.929993,146.460632,3195400
2021-10-13,157.460007,158.050003,156.020004,157.990005,147.449921,3599900
2021-10-14,158.619995,159.490005,158.610001,159.259995,148.635208,3677100
2021-10-15,159.660004,159.660004,157.509995,158.809998,148.215210,4313000
2021-10-18,158.199997,158.699997,156.800003,158.089996,147.543243,3274200
2021-10-19,158.639999,160.160004,157.539993,160.100006,149.419189,3125800
2021-10-20,160.580002,161.880005,159.679993,161.309998,150.548431,3716500
2021-10-21,161.389999,161.429993,158.979996,159.179993,148.560532,4164700
2021-10-22,159.580002,160.470001,159.470001,159.970001,149.297836,3240300
