Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.580000,28.610001,28.450001,28.520000,18.498020,13870400
2010-01-05,28.424999,28.495001,28.070000,28.174999,18.274252,23172400
2010-01-06,28.174999,28.219999,27.990000,28.165001,18.267769,19264600
2010-01-07,28.165001,28.184999,27.875000,28.094999,18.222359,13234600
2010-01-08,27.730000,27.820000,27.375000,27.575001,17.885094,28712400
2010-01-11,27.575001,28.225000,27.400000,28.135000,18.248306,28642400
2010-01-12,28.045000,28.500000,28.030001,28.440001,18.446129,23269800
2010-01-13,28.430000,28.715000,28.344999,28.514999,18.494772,15157400
2010-01-14,28.520000,28.625000,28.385000,28.565001,18.527208,12392600
2010-01-15,28.475000,28.674999,28.020000,28.145000,18.254797,27460800
2010-01-19,28.110001,28.245001,27.959999,28.209999,18.296951,14615400
2010-01-20,28.080000,28.195000,27.645000,27.750000,17.998590,18810200
2010-01-21,27.775000,27.790001,27.094999,27.184999,17.632139,27396800
2010-01-22,27.174999,27.430000,26.990000,27.120001,17.589983,23551400
2010-01-25,27.245001,27.270000,26.940001,27.174999,17.625654,16853200
2010-01-26,27.035000,27.250000,26.934999,27.070000,17.557549,15515000
2010-01-27,27.000000,27.330000,26.850000,27.254999,17.677540,20414800
2010-01-28,27.355000,27.420000,27.065001,27.090000,17.570520,20905200
2010-01-29,27.219999,27.469999,26.950001,27.125000,17.593222,22146800
2010-02-01,27.254999,27.280001,27.000000,27.190001,17.635384,14517600
2010-02-02,27.264999,27.605000,27.075001,27.525000,17.852661,16888600
2010-02-03,27.459999,27.480000,27.264999,27.434999,17.794287,15899400
2010-02-04,27.275000,27.340000,26.700001,26.715000,17.327305,21342800
2010-02-05,26.620001,26.715000,26.264999,26.545000,17.217037,29285000
2010-02-08,26.635000,26.635000,26.285000,26.325001,17.074347,16721200
2010-02-09,26.844999,27.490000,26.684999,27.004999,17.515385,31495000
2010-02-10,27.299999,27.299999,26.584999,26.895000,17.444042,18717600
2010-02-11,26.799999,27.165001,26.635000,27.110001,17.583494,26327200
2010-02-12,26.959999,27.200001,26.809999,26.990000,17.505661,24640000
2010-02-16,27.254999,27.410000,26.965000,27.410000,17.778076,19339400
2010-02-17,27.405001,27.775000,27.379999,27.665001,17.943470,17064600
2010-02-18,27.575001,27.959999,27.575001,27.955000,18.131554,17264600
2010-02-19,27.900000,27.950001,27.590000,27.860001,18.069942,18944800
2010-02-22,27.900000,27.930000,27.635000,27.690001,17.959681,13487600
2010-02-23,27.705000,27.799999,27.395000,27.415001,17.781313,14835600
2010-02-24,27.500000,27.590000,27.344999,27.580000,17.888334,14470600
2010-02-25,26.570000,26.790001,26.305000,26.559999,17.226761,63648600
2010-02-26,26.545000,26.545000,26.115000,26.360001,17.097044,63095400
2010-03-01,26.610001,26.684999,26.395000,26.635000,17.275412,39449800
2010-03-02,26.690001,26.844999,26.575001,26.650000,17.285133,24506200
2010-03-03,26.650000,27.059999,26.590000,26.965000,17.489450,26574200
2010-03-04,27.350000,27.520000,27.160000,27.235001,17.664564,28983200
