Date,AAPL,IBM,MCD
2010-01-04,0.015555,0.011841,0.005445
2010-01-05,0.001729,-0.01208,-0.007646
2010-01-06,-0.015906,-0.006496,-0.013644
2010-01-07,-0.001849,-0.003462,0.007323
2010-01-08,0.006648,0.010035,-0.000969
2010-01-11,-0.008821,-0.01047,0.007762
2010-01-12,-0.011375,0.007955,0.005456
2010-01-13,0.014106,-0.002145,-0.001117
2010-01-14,-0.005792,0.015972,0.000959
2010-01-15,-0.016712,-0.004006,-0.005906
2010-01-19,0.044238,0.017909,0.019268
2010-01-20,-0.015392,-0.029,-0.007404
2010-01-21,-0.017286,-0.009597,0.003015
2010-01-22,0.004808,-0.002328,-0.000859
2010-01-25,0.026903,0.00494,-0.004733
2010-01-26,0.018162,0.004776,-0.002994
2010-01-27,0.00942,0.004612,-0.001254
2010-01-28,-0.041322,-0.020423,-0.014122
2010-01-29,-0.036279,-0.01099,-0.006366
2010-02-01,-0.015238,-0.002046,-0.002088
2010-02-02,0.005803,0.006898,0.002191
2010-02-03,0.017206,0.001036,0.018429
2010-02-04,-0.036039,-0.021168,-0.017635
2010-02-05,0.017756,0.004228,-0.010771
2010-02-08,-0.006856,-0.013277,-0.007101
2010-02-09,0.010664,0.010912,0.010331
2010-02-10,-0.005454,-0.003246,-0.005034
2010-02-11,0.018194,0.007491,0.008538
2010-02-12,0.008607,0.002182,-0.003135
2010-02-16,0.015071,0.009919,0.006605
2010-02-17,-0.004179,0.008784,0.003906
2010-02-18,0.001876,0.011715,0.003424
2010-02-19,-0.006209,-0.004851,0.004032
2010-02-22,-0.006198,-0.002673,0.000463
2010-02-23,0.006036,0.003131,0.003238
2010-02-24,0.018269,0.008936,0.006012
2010-02-25,0.006678,-0.004076,-0.013485
2010-02-26,0.01297,0.000708,-0.008232
2010-03-01,0.021357,0.011088,0.002036
2010-03-02,-0.00067,-0.008945,0.001407
2010-03-03,0.002298,-0.004238,-0.006867
2010-03-04,0.020702,-2.7e-05,-0.001541
2010-03-05,0.039106,0.004183,0.003784
2010-03-08,0.000594,-0.006601,0.022774
2010-03-09,0.017984,-0.006803,-0.000307
2010-03-10,0.008161,0.000558,-0.002458
2010-03-11,0.002935,0.015762,0.004158
2010-03-12,0.004878,0.002665,0.004907
2010-03-15,-0.01218,-0.00086,0.006104
2010-03-16,0.002725,0.006571,0.002123
2010-03-17,-0.00147,-0.007072,0.004692
2010-03-18,0.002365,0.004853,0.004519
2010-03-19,-0.010683,-0.005219,-0.00225
2010-03-22,0.011249,0.002114,0.007215
2010-03-23,0.016062,0.010861,0.005074
2010-03-24,0.004423,-0.006493,-0.008166
2010-03-25,-0.011859,0.005524,0.001497
2010-03-26,0.018751,0.000155,0.005381
2010-03-29,0.006453,-0.005183,-0.002825
2010-03-30,0.014889,0.0014,0.002535
2010-03-31,-0.003604,-0.004038,-0.007733
2010-04-01,0.004128,0.0,0.01289
2010-04-05,0.010679,0.008577,0.006659
2010-04-06,0.004403,-0.003247,-0.003234
2010-04-07,0.004425,-0.00349,-0.001622
2010-04-08,-0.002702,-0.006771,0.015657
2010-04-09,0.007668,0.009012,-0.001163
2010-04-12,0.002068,-0.003107,-0.002184
2010-04-13,0.000578,0.00522,0.005691
2010-04-14,0.013447,0.017205,0.007255
2010-04-15,0.013147,-0.002743,-0.003745
2010-04-16,-0.006106,-0.001986,-0.00188
2010-04-19,-0.001334,0.012248,0.012893
2010-04-20,-0.010038,-0.019209,0.006007
2010-04-21,0.059814,-0.005398,0.000284
2010-04-22,0.027969,0.001085,0.009522
2010-04-23,0.016362,0.00666,0.001689
2010-04-26,-0.004911,0.005693,-0.001827
2010-04-27,-0.027681,-0.01461,-0.006899
2010-04-28,-0.001679,0.009936,-0.002694
2010-04-29,0.026911,0.002767,0.016776
2010-04-30,-0.028105,-0.011191,-0.013003
2010-05-03,0.020146,0.004651,0.011758
2010-05-04,-0.028797,-0.01142,-0.010921
2010-05-05,-0.010399,-0.005151,0.000283
2010-05-06,-0.038048,-0.027773,-0.017549
2010-05-07,0.01941,0.00319,0.01012
2010-05-10,0.076868,0.034152,0.037789
2010-05-11,0.009961,0.00491,-0.001417
2010-05-12,0.021714,0.04563,0.002696
2010-05-13,-0.014232,-0.009044,-0.002406
2010-05-14,-0.017572,-0.002206,-0.012908
2010-05-17,0.001576,-0.005717,0.007903
2010-05-18,-0.007317,-0.003757,-0.001711
2010-05-19,-0.01593,-0.008388,-0.008855
2010-05-20,-0.042603,-0.039267,-0.025072
2010-05-21,0.019179,0.013086,0.002956
2010-05-24,0.018323,-0.007734,-0.002947
2010-05-25,-0.006241,0.000562,0.00266
2010-05-26,-0.004527,-0.01036,-0.026975
2010-05-27,0.037852,0.025643,0.018027
2010-05-28,0.013933,-0.008941,-0.004911
2010-06-01,0.00824,-0.004522,-0.002881
2010-06-02,0.002548,-0.000102,-0.00085
2010-06-03,-0.003145,0.004317,0.00118
2010-06-04,-0.027212,-0.020944,-0.016949
2010-06-07,-0.019612,-0.009179,0.00075
2010-06-08,-0.006416,-0.003303,0.024419
2010-06-09,-0.024586,0.001455,-0.001755
2010-06-10,0.030058,0.030508,0.016261
2010-06-11,0.011976,0.006031,0.002451
2010-06-14,0.003037,0.000389,-0.003451
2010-06-15,0.021276,0.010039,0.015873
2010-06-16,0.029112,0.004315,-0.001563
2010-06-17,0.017287,0.004833,-0.003414
2010-06-18,0.008092,-0.006337,-0.002427
2010-06-21,-0.01423,0.003842,0.000572
2010-06-22,0.013621,-0.010333,-0.018307
2010-06-23,-0.010517,0.006264,-0.000146
2010-06-24,-0.00727,-0.014757,-0.013114
2010-06-25,-0.00855,-0.008347,-0.004577
2010-06-28,0.005999,0.014632,-0.001335
2010-06-29,-0.045211,-0.03016,-0.012921
2010-06-30,-0.018113,-0.012871,-0.008877
2010-07-01,-0.012126,-0.00737,0.012752
2010-07-02,-0.006198,-0.005793,-0.008544
