,Date,Optimal Weights,Objective Function Values,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.153857 0.234453 0.61169 ],0.080004,-0.009737,0.008383
1,2021-10-13,[0.132448 0.269602 0.59795 ],0.075511,-0.004578,0.008422
2,2021-10-14,[0.201049 0.29443  0.504521],0.05851,0.013518,0.008487
3,2021-10-15,[0.110174 0.266735 0.623091],0.074094,-0.002763,0.008446
4,2021-10-18,[0.259862 0.151814 0.588323],0.072805,0.000688,0.008573
5,2021-10-19,[0.157312 0.186796 0.655892],0.067607,0.003307,0.008421
6,2021-10-20,[0.163072 0.211219 0.625709],0.077772,-0.007432,0.008387
7,2021-10-21,[0.297766 0.       0.702234],0.083443,0.00536,0.009424
8,2021-10-22,[0.277698 0.046136 0.676166],0.092183,-0.009921,0.00907
9,2021-10-25,[0.308251 0.023687 0.668062],0.089375,-0.00323,0.009281
10,2021-10-26,[0.301217 0.132314 0.566469],0.07765,-0.001346,0.008735
11,2021-10-27,[0.164424 0.056314 0.779262],0.060913,0.019413,0.008962
12,2021-10-28,[0.556373 0.077825 0.365802],0.090403,0.018496,0.010435
13,2021-10-29,[0.224088 0.216041 0.55987 ],0.076125,-0.005225,0.00842
14,2021-11-01,[0.109517 0.14782  0.742663],0.057873,0.015994,0.008595
15,2021-11-02,[0.380602 0.179436 0.439962],0.080721,0.000213,0.008996
16,2021-11-03,[0.301505 0.208251 0.490244],0.067528,0.006804,0.008622
17,2021-11-04,[0.165566 0.144478 0.689956],0.065634,0.007033,0.008524
18,2021-11-05,[0.298478 0.219864 0.481658],0.066145,0.00803,0.008612
19,2021-11-08,[0.277163 0.180449 0.542387],0.076908,-0.00361,0.008561
20,2021-11-09,[0.282392 0.093434 0.624173],0.081119,-0.003184,0.008828
21,2021-11-10,[0.243962 0.124524 0.631514],0.078559,-0.004124,0.008628
22,2021-11-11,[0.237796 0.136865 0.625338],0.080917,-0.007361,0.008576
23,2021-11-12,[0.336485 0.13143  0.532085],0.074119,0.004478,0.008865
24,2021-11-15,[0.21852  0.149533 0.631947],0.066895,0.005624,0.008516
25,2021-11-16,[0.307828 0.135278 0.556895],0.076002,0.000529,0.008748
26,2021-11-17,[0.294848 0.148886 0.556266],0.070325,0.004866,0.008671
27,2021-11-18,[0.307217 0.129014 0.563769],0.067815,0.008999,0.008764
