,Date,Optimal Weights,Objective Function Values,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.133159 0.250516 0.616324],0.080418,-0.009808,0.008403
1,2021-10-13,[0.137749 0.265224 0.597026],0.075368,-0.004602,0.008412
2,2021-10-14,[0.167399 0.295048 0.537552],0.058494,0.013108,0.008462
3,2021-10-15,[0.143399 0.244425 0.612176],0.073013,-0.002601,0.008391
4,2021-10-18,[0.185973 0.150643 0.663383],0.072378,-0.000163,0.008498
5,2021-10-19,[0.191278 0.165823 0.642898],0.067688,0.003842,0.008458
6,2021-10-20,[0.165665 0.252712 0.581624],0.077262,-0.006893,0.008389
7,2021-10-21,[0.220406 0.       0.779594],0.081425,0.005788,0.009339
8,2021-10-22,[0.250948 0.034737 0.714314],0.093067,-0.010207,0.009103
9,2021-10-25,[0.257021 0.043716 0.699263],0.085326,-0.003394,0.009052
10,2021-10-26,[0.278478 0.050793 0.670729],0.083308,-0.001529,0.009043
11,2021-10-27,[0.178289 0.041081 0.780629],0.062269,0.01964,0.00905
12,2021-10-28,[0.374725 0.080922 0.544353],0.06882,0.01601,0.00921
13,2021-10-29,[0.179973 0.147796 0.672231],0.076376,-0.003999,0.008507
14,2021-11-01,[0.122766 0.17481  0.702424],0.056687,0.01535,0.008487
15,2021-11-02,[0.249229 0.197364 0.553407],0.073171,-0.001342,0.008475
16,2021-11-03,[0.233823 0.226701 0.539476],0.064671,0.006509,0.008437
17,2021-11-04,[0.191001 0.215641 0.593358],0.064981,0.00536,0.008387
18,2021-11-05,[0.192479 0.320138 0.487383],0.063121,0.010123,0.008558
19,2021-11-08,[0.24689  0.229713 0.523398],0.074601,-0.002951,0.008465
20,2021-11-09,[0.288338 0.150179 0.561483],0.079538,-0.004739,0.008649
21,2021-11-10,[0.233447 0.137039 0.629514],0.077439,-0.003992,0.00857
22,2021-11-11,[0.237468 0.190498 0.572034],0.078271,-0.006713,0.008459
23,2021-11-12,[0.271543 0.164054 0.564403],0.070237,0.003257,0.008573
24,2021-11-15,[0.19388  0.207598 0.598522],0.065169,0.005276,0.008393
25,2021-11-16,[0.239712 0.23879  0.521498],0.071697,-0.000215,0.008455
26,2021-11-17,[0.263807 0.235326 0.500868],0.068416,0.004012,0.00851
27,2021-11-18,[0.271305 0.211086 0.517609],0.065792,0.006857,0.008523
28,2021-11-19,[0.183897 0.291227 0.524876],0.073157,-0.001569,0.008461
29,2021-11-22,[0.135456 0.301438 0.563106],0.067052,0.004907,0.008483
30,2021-11-23,[0.137691 0.297924 0.564386],0.065803,0.005984,0.008473
31,2021-11-24,[0.155799 0.301448 0.542753],0.068401,0.003456,0.008477
32,2021-11-26,[0.130775 0.415247 0.453978],0.101247,-0.019952,0.009016
33,2021-11-29,[0.082435 0.532265 0.385299],0.085258,0.014614,0.009994
34,2021-11-30,[0.149984 0.30842  0.541596],0.083441,-0.011241,0.008497
35,2021-12-01,[0.114897 0.325086 0.560018],0.075282,-0.00183,0.00857
36,2021-12-02,[0.093837 0.304777 0.601387],0.062195,0.010752,0.008541
37,2021-12-03,[0.100452 0.455647 0.443901],0.079462,0.007329,0.009316
38,2021-12-06,[0.16852 0.27923 0.55225],0.05056,0.020446,0.008427
39,2021-12-07,[0.182065 0.379678 0.438257],0.059095,0.0188,0.008826
40,2021-12-08,[0.104115 0.442442 0.453443],0.077877,0.007036,0.009215
41,2021-12-09,[0.049324 0.395044 0.555632],0.07337,0.007528,0.008994
42,2021-12-10,[0.119594 0.388232 0.492174],0.068464,0.009918,0.008853
43,2021-12-13,[0.03325  0.45683  0.509919],0.098727,-0.009864,0.009427
44,2021-12-14,[0.02078  0.480411 0.498809],0.089475,0.003377,0.009636
45,2021-12-15,[0.103082 0.355328 0.541589],0.070516,0.005198,0.008701
46,2021-12-16,[0.       0.517812 0.482188],0.08629,0.013739,0.010001
47,2021-12-17,[0.071542 0.385026 0.543432],0.082939,-0.003849,0.008893
48,2021-12-20,[0.065461 0.345107 0.589432],0.077518,-0.001385,0.008725
49,2021-12-21,[0.087346 0.382155 0.530499],0.065553,0.012803,0.008852
50,2021-12-22,[0.090567 0.346237 0.563196],0.0707,0.004653,0.008681
51,2021-12-23,[0.069839 0.364245 0.565916],0.072474,0.004882,0.008795
52,2021-12-27,[0.107437 0.347476 0.545086],0.065248,0.009796,0.008663
53,2021-12-28,[0.048087 0.406684 0.545229],0.08002,0.002112,0.009063
54,2021-12-29,[0.067497 0.380145 0.552358],0.075428,0.003355,0.008876
55,2021-12-30,[0.075323 0.401771 0.522906],0.08193,-0.001301,0.008979
56,2021-12-31,[0.080278 0.361085 0.558636],0.075914,0.00084,0.008761
57,2022-01-03,[0.141307 0.419369 0.439323],0.107347,0.011836,0.010917
58,2022-01-04,[0.031479 0.355206 0.613316],0.112392,0.00461,0.010817
59,2022-01-05,[0.038032 0.296995 0.664973],0.124332,-0.00385,0.010976
60,2022-01-06,[0.018097 0.215938 0.765965],0.126414,0.002366,0.011348
61,2022-01-07,[0.071164 0.255473 0.673363],0.131181,-0.007459,0.011123
62,2022-01-10,[0.08308  0.298004 0.618915],0.12619,-0.00569,0.010977
63,2022-01-11,[0.148304 0.251839 0.599857],0.132476,-0.006735,0.011213
