,Date,Optimal Weights,Objective Function Values,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.17065  0.221575 0.607775],0.079901,-0.00968,0.00838
1,2021-10-13,[0.17446  0.243699 0.581841],0.07496,-0.004686,0.008383
2,2021-10-14,[0.192766 0.242601 0.564633],0.057554,0.012853,0.008391
3,2021-10-15,[0.199906 0.252106 0.547987],0.072155,-0.001507,0.008405
4,2021-10-18,[0.199985 0.201342 0.598673],0.071401,-0.000803,0.008402
5,2021-10-19,[0.198866 0.218611 0.582523],0.066705,0.003703,0.008391
6,2021-10-20,[0.199729 0.243251 0.55702 ],0.076977,-0.006464,0.008397
7,2021-10-21,[0.191738 0.072293 0.735969],0.079693,-0.001473,0.008844
8,2021-10-22,[0.182179 0.241075 0.576746],0.07917,-0.00888,0.008384
9,2021-10-25,[0.178491 0.232601 0.588908],0.073433,-0.003213,0.00838
10,2021-10-26,[0.188073 0.226839 0.585088],0.072587,-0.002314,0.008383
11,2021-10-27,[0.121938 0.173935 0.704128],0.05637,0.015728,0.008491
12,2021-10-28,[0.200622 0.215991 0.583387],0.057618,0.012828,0.008393
13,2021-10-29,[0.134284 0.226144 0.639571],0.074179,-0.003637,0.008399
14,2021-11-01,[0.119809 0.220905 0.659286],0.055992,0.014917,0.008421
15,2021-11-02,[0.194917 0.232811 0.572272],0.072216,-0.001858,0.008388
16,2021-11-03,[0.18025  0.232539 0.587211],0.063978,0.00625,0.00838
17,2021-11-04,[0.143538 0.206989 0.649473],0.064354,0.00626,0.008403
18,2021-11-05,[0.158925 0.258392 0.582683],0.06136,0.009112,0.008395
19,2021-11-08,[0.167658 0.250951 0.581392],0.073063,-0.002718,0.008387
20,2021-11-09,[0.188169 0.185172 0.626659],0.076995,-0.006138,0.008418
21,2021-11-10,[0.128998 0.225411 0.645591],0.073072,-0.00242,0.008405
22,2021-11-11,[0.190273 0.244929 0.564798],0.076993,-0.006589,0.008391
23,2021-11-12,[0.200152 0.205741 0.594106],0.068696,0.00184,0.008399
24,2021-11-15,[0.15494 0.21737 0.62769],0.064799,0.00553,0.008386
25,2021-11-16,[0.188767 0.224583 0.58665 ],0.070911,-0.00063,0.008383
26,2021-11-17,[0.20421  0.2181   0.577691],0.06733,0.003157,0.008396
27,2021-11-18,[0.228044 0.198373 0.573583],0.065217,0.005948,0.008436
28,2021-11-19,[0.218024 0.22363  0.558346],0.071582,-0.000838,0.008411
29,2021-11-22,[0.164729 0.22692  0.608352],0.065214,0.004998,0.008379
30,2021-11-23,[0.159584 0.222663 0.617753],0.063966,0.006287,0.008382
31,2021-11-24,[0.167425 0.220841 0.611733],0.0663,0.00393,0.00838
32,2021-11-26,[0.155743 0.261626 0.582631],0.093629,-0.023085,0.008399
33,2021-11-29,[0.206465 0.25734  0.536195],0.059761,0.011116,0.008419
34,2021-11-30,[0.279881 0.229375 0.490743],0.078217,-0.005047,0.008554
35,2021-12-01,[0.16733  0.230476 0.602194],0.072126,-0.001925,0.008379
36,2021-12-02,[0.124537 0.208104 0.667359],0.059153,0.011828,0.008425
37,2021-12-03,[0.137087 0.256578 0.606335],0.066682,0.003942,0.008404
38,2021-12-06,[0.166723 0.204908 0.628369],0.048707,0.02171,0.008391
39,2021-12-07,[0.211347 0.220169 0.568484],0.05089,0.019714,0.008403
40,2021-12-08,[0.216259 0.242386 0.541355],0.063722,0.00711,0.008416
41,2021-12-09,[0.14419  0.224505 0.631304],0.063106,0.007288,0.00839
